Code,Name,Category,Message
F706,return-outside-function,Logic Error,return outside function
F722,forward-annotation-syntax-error,Best Practice,Syntax error in forward annotation
F811,redefined-while-unused,Code Style,Redefinition of unused name
F821,undefined-name,Logic Error,Undefined name
F822,undefined-export,Logic Error,Undefined name in __all__
F823,undefined-local,Logic Error,Local variable referenced before assignment
F901,raise-not-implemented,Best Practice,raise NotImplemented should be raise NotImplementedError
ICU001,invalid-characters,Code Style,Invalid unicode characters in code
ISC001,single-line-implicit-string-concatenation,Code Style,Implicitly concatenated string literals on one line
N801,invalid-class-name,Naming,Class name should use CapWords convention
N802,invalid-function-name,Naming,Function name should be lowercase
N803,invalid-argument-name,Naming,Argument name should be lowercase
N804,invalid-first-argument-name-for-class-method,Naming,First argument of class method should be named cls
N805,invalid-first-argument-name-for-method,Naming,First argument of method should be named self
N806,non-lowercase-variable-in-function,Naming,Variable in function should be lowercase
N818,error-suffix-on-exception-name,Naming,Exception name should have Error suffix
PERF401,manual-list-comprehension,Performance,Use list comprehension instead of manual for loop
PERF402,manual-list-copy,Performance,Use list() or list.copy() to create a copy
PERF403,manual-dict-comprehension,Performance,Use dictionary comprehension instead of manual for loop
PGH001,eval,Security,No builtin eval() allowed
PGH002,deprecated-log-warn,Best Practice,warn is deprecated in favor of warning
PGH003,blanket-type-ignore,Best Practice,Use specific rule codes when ignoring type issues
PGH004,blanket-noqa,Best Practice,Use specific rule codes when using noqa
PGH005,invalid-mock-access,Best Practice,Mock method should be called
PT009,pytest-unittest-assertion,Testing,Use regular assert instead of unittest-style assertion
PT011,pytest-raises-too-broad,Testing,pytest.raises() is too broad (use match parameter)
PT012,pytest-raises-with-multiple-statements,Testing,pytest.raises() block should contain single statement
PT018,pytest-composite-assertion,Testing,Assertion should be broken down into multiple parts
PT022,pytest-useless-yield-fixture,Testing,No teardown in fixture (use return instead of yield)
Q000,bad-quotes-inline-string,Code Style,Double quotes preferred (or single quotes if configured)
Q003,avoidable-escaped-quote,Code Style,Change outer quotes to avoid escaping inner quotes
RSE102,unnecessary-paren-on-raise-exception,Code Style,Unnecessary parentheses on raised exception
RUF100,unused-noqa,Code Style,Unused noqa directive
S101,assert,Security,Use of assert detected (can be optimized away)
S108,hardcoded-temp-file,Security,Insecure usage of temporary file/directory
S110,try-except-pass,Security,try-except-pass detected (log the exception)
S113,request-without-timeout,Security,Request call without timeout
S202,tarfile-unsafe-members,Security,tarfile.extractall() without member filtering
S301,suspicious-pickle-usage,Security,pickle insecure for untrusted data
S311,suspicious-non-cryptographic-random-usage,Security,Standard random not suitable for cryptographic purposes
S506,unsafe-yaml-load,Security,Unsafe yaml.load() (use yaml.safe_load)
S602,subprocess-popen-with-shell-equals-true,Security,subprocess with shell=True (security risk)
S603,subprocess-without-shell-equals-true,Security,subprocess call with untrusted input
S607,start-process-with-partial-path,Security,Partial executable path (security risk)
S608,hardcoded-sql-expression,Security,SQL injection risk with string-based query
S701,jinja2-autoescape-false,Security,Jinja2 with autoescape=False (XSS risk)
TRY002,raise-vanilla-class,Best Practice,Create your own exception (don't raise vanilla Exception)
TRY003,raise-vanilla-args,Best Practice,Avoid long messages outside exception class
TRY004,type-check-without-type-error,Best Practice,Prefer TypeError for invalid type
TRY200,reraise-no-cause,Best Practice,Use raise from to specify exception cause
TRY300,try-consider-else,Code Style,Consider moving code to else block
TRY301,raise-within-try,Code Style,Abstract raise to inner function
UP039,unnecessary-class-parentheses,Code Style,Unnecessary parentheses after class definition
UP040,non-pep695-type-alias,Best Practice,Use type keyword for type aliases
